nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,5,25,0.25,1,lognormal,Model5,NA,NA,FALSE,24.6,18.75,31.3,18.19,18.18,20.13,43.65,25.7
10000,1000,5,5,5,25,0.25,1,normal,Model1,NA,NA,FALSE,6.97,6.91,5.02,5.27,4.16,6.6,9.93,6.56
10000,1000,5,5,5,25,0.75,1,normal,Model7,NA,NA,FALSE,31.39,52,31.84,61.17,27.42,75.16,50.44,76.14
10000,1000,5,5,5,25,0,1,normal,Model7,NA,NA,FALSE,12.3,16.95,13.78,25.67,9.31,28.88,23.27,30.02
10000,1000,5,5,5,25,0.75,1,normal,Model6,NA,NA,FALSE,29.47,22.94,27.22,19.76,24.75,21.35,41.44,21.42
10000,1000,5,5,5,25,0.75,1,normal,Model1,NA,NA,FALSE,6.68,6.59,4.84,5.19,3.95,6.33,9.87,6.53
10000,1000,5,5,5,25,0,1,normal,Model3,NA,NA,FALSE,16,15.01,19.3,17.2,13.04,18.74,28.27,16.33
10000,1000,5,5,5,25,0,1,lognormal,Model1,NA,NA,FALSE,6.74,6.76,5.15,4.97,2.57,6.22,8.34,7.08
10000,1000,5,5,5,25,0,1,lognormal,Model3,NA,NA,FALSE,28.01,21.83,40.49,26.3,26.81,26.79,50.8,26.66
10000,1000,5,5,5,25,0.75,1,normal,Model3,NA,NA,FALSE,48.87,41.42,50.35,42.61,40.97,50.56,66.42,46.07
10000,1000,5,5,5,25,0.5,1,normal,Model1,NA,NA,FALSE,6.91,6.67,5.03,5.18,4.16,6.21,9.94,6.52
10000,1000,5,5,5,25,0.5,1,lognormal,Model5,NA,NA,FALSE,34.8,24.49,41.56,23.55,26.18,26.04,56.05,32.14
10000,1000,5,5,5,25,0,1,lognormal,Model7,NA,NA,FALSE,12.36,11.74,13.94,12.6,7.6,14.43,20.69,17.51
10000,1000,5,5,5,25,0.75,1,lognormal,Model7,NA,NA,FALSE,33.88,32.55,33.8,34.07,22.46,39.3,48.65,46.3
10000,1000,5,5,5,25,0,1,normal,Model5,NA,NA,FALSE,11.16,10.05,11.39,8.71,8.67,9.58,19.26,10.96
10000,1000,5,5,5,25,0.25,1,lognormal,Model3,NA,NA,FALSE,35.06,26.95,47.73,30.88,33.75,32.42,58.46,32.07
10000,1000,5,5,5,25,0.25,1,lognormal,Model1,NA,NA,FALSE,7.05,6.89,5.24,5.31,2.66,6.08,8.43,6.86
10000,1000,5,5,5,25,0.5,1,normal,Model4,NA,NA,FALSE,6.89,6.67,5.04,5.18,4.17,6.24,10.04,7.05
10000,1000,5,5,5,25,0,1,normal,Model1,NA,NA,FALSE,7,6.89,5.22,5.13,3.99,6.32,9.94,6.5
10000,1000,5,5,5,25,0.5,1,lognormal,Model6,NA,NA,FALSE,44.52,29.58,54.64,29.67,37.07,31.86,67.49,35.12
10000,1000,5,5,5,25,0.25,1,lognormal,Model7,NA,NA,FALSE,14.45,14.45,16.2,15.09,8.73,16.97,23.71,20.67
10000,1000,5,5,5,25,0.25,1,normal,Model6,NA,NA,FALSE,14.39,12.19,14.77,10.72,12.09,11.94,23.72,12.25
10000,1000,5,5,5,25,0.25,1,lognormal,Model6,NA,NA,FALSE,30.12,21.55,41.15,22.24,24.94,23.95,53.19,27.16
10000,1000,5,5,5,25,0.5,1,normal,Model3,NA,NA,FALSE,27.56,23.66,30.58,25.45,21.69,30.06,42.43,26.92
10000,1000,5,5,5,25,0.75,1,lognormal,Model1,NA,NA,FALSE,6.44,6.61,5.18,5.11,2.75,5.74,8.53,6.91
10000,1000,5,5,5,25,0.5,1,lognormal,Model1,NA,NA,FALSE,6.96,7.06,5.27,5.31,2.82,6.05,8.71,7.1
10000,1000,5,5,5,25,0,1,normal,Model6,NA,NA,FALSE,12.22,10.86,13.13,9.63,10.51,10.86,21.25,11.09
10000,1000,5,5,5,25,0.75,1,normal,Model4,NA,NA,FALSE,6.73,6.58,4.83,5.18,3.88,6.24,9.95,6.86
10000,1000,5,5,5,25,0,1,lognormal,Model4,NA,NA,FALSE,6.93,6.81,5.12,5.31,3.2,6.54,9.53,8.03
10000,1000,5,5,5,25,0,1,normal,Model4,NA,NA,FALSE,6.99,6.87,5.22,5.13,4.11,6.27,10,6.97
10000,1000,5,5,5,25,0.5,1,normal,Model6,NA,NA,FALSE,18.06,14.96,18,13.01,15.08,14.32,28.19,14.51
10000,1000,5,5,5,25,0.5,1,normal,Model2,NA,NA,FALSE,12.91,12.23,11.82,11.03,8.22,13.14,19.74,14.2
10000,1000,5,5,5,25,0.75,1,normal,Model5,NA,NA,FALSE,24.16,19.31,21.32,16.64,18.92,18.13,36.22,20.37
10000,1000,5,5,5,25,0.5,1,lognormal,Model7,NA,NA,FALSE,19.32,18.41,20.12,19.7,11.75,22.3,29.64,27
10000,1000,5,5,5,25,0.75,1,normal,Model2,NA,NA,FALSE,19.61,18.93,17.1,17.83,12.75,20.46,28.71,21.87
10000,1000,5,5,5,25,0.75,1,lognormal,Model2,NA,NA,FALSE,37.75,29.24,36.48,27.2,26.33,30.45,52,36.58
10000,1000,5,5,5,25,0,1,lognormal,Model5,NA,NA,FALSE,19.27,15.42,25.93,15.46,14.48,16.93,37.14,21.69
10000,1000,5,5,5,25,0.25,1,lognormal,Model2,NA,NA,FALSE,16.47,13.96,18.38,13.44,10.19,13.88,26.85,17.94
10000,1000,5,5,5,25,0.75,1,lognormal,Model3,NA,NA,FALSE,76.08,59.9,81.61,61.36,75.06,69.84,92.11,68.68
10000,1000,5,5,5,25,0,1,normal,Model2,NA,NA,FALSE,9.3,9.31,9.04,8.67,6.04,9.46,15.87,10.26
10000,1000,5,5,5,25,0.75,1,lognormal,Model4,NA,NA,FALSE,6.67,6.75,5.26,5.11,3.25,6.51,9.37,8.1
10000,1000,5,5,5,25,0.25,1,normal,Model2,NA,NA,FALSE,10.72,10.5,10.17,9.61,6.64,10.51,17.24,11.4
10000,1000,5,5,5,25,0.5,1,normal,Model5,NA,NA,FALSE,15.32,12.88,14.82,11.14,12.39,12.25,25.11,14.02
10000,1000,5,5,5,25,0,1,lognormal,Model2,NA,NA,FALSE,14.11,11.66,16.23,11.39,8.66,12.03,23.5,15.57
10000,1000,5,5,5,25,0.5,1,normal,Model7,NA,NA,FALSE,18.35,29.84,19.88,40.72,15.11,48.15,32.98,50.03
10000,1000,5,5,5,25,0.25,1,normal,Model4,NA,NA,FALSE,6.99,6.88,5.01,5.26,4.18,6.55,9.95,7.18
10000,1000,5,5,5,25,0.75,1,lognormal,Model5,NA,NA,FALSE,63.11,41.54,66.93,38.81,53.09,43.71,82.77,51.83
10000,1000,5,5,5,25,0.75,1,lognormal,Model6,NA,NA,FALSE,76.17,50.28,81.16,48.23,69.19,52.65,92.01,56.86
10000,1000,5,5,5,25,0.5,1,lognormal,Model4,NA,NA,FALSE,7.12,6.87,5.2,5.14,3.41,6.57,9.38,8.27
10000,1000,5,5,5,25,0.5,1,lognormal,Model2,NA,NA,FALSE,21.68,17.82,22.72,16.84,14.2,18.46,33.21,22.81
10000,1000,5,5,5,25,0.5,1,lognormal,Model3,NA,NA,FALSE,48.03,37.04,59.6,40.73,46.1,43.95,71.35,43.15
10000,1000,5,5,5,25,0,1,lognormal,Model6,NA,NA,FALSE,23.31,17.78,34.12,18.55,19.77,20.13,45.52,22.8
10000,1000,5,5,10,25,0,1,normal,Model2,NA,NA,FALSE,9.31,9,9.78,9.08,7.39,10.92,16.18,12.01
10000,1000,5,5,10,25,0.75,1,lognormal,Model1,NA,NA,FALSE,6.29,6.34,4.71,4.95,2.51,5.52,8.03,6.77
10000,1000,5,5,10,25,0.25,1,lognormal,Model3,NA,NA,FALSE,34.9,26.76,56.68,36.63,43.11,39.51,67.46,39.93
10000,1000,5,5,5,25,0.25,1,normal,Model3,NA,NA,FALSE,19.61,17.88,23.55,19.85,16.21,22.66,33.04,20.08
10000,1000,5,5,10,25,0.5,1,lognormal,Model1,NA,NA,FALSE,6.48,6.62,4.87,5.31,2.63,5.96,8.35,7.32
10000,1000,5,5,10,25,0.5,1,normal,Model2,NA,NA,FALSE,12.84,12.42,12.33,12.79,9.2,14.57,19.93,15.71
10000,1000,5,5,10,25,0,1,lognormal,Model2,NA,NA,FALSE,13.18,11.66,17.09,12.14,9.78,12.88,25.19,16.97
10000,1000,5,5,10,25,0,1,normal,Model4,NA,NA,FALSE,6.69,6.87,5.01,5.35,4.33,6.5,9.37,7.06
10000,1000,5,5,10,25,0.75,1,normal,Model7,NA,NA,FALSE,31.76,52.29,34.38,67.03,29.68,83.41,51.43,85.08
