nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,5,25,0,1,mixed,Model3,NA,NA,FALSE,21,16.56,30.35,19.85,17.3,19.37,38.93,19.06
10000,1000,5,5,5,25,0.75,1,mixed,Model7,NA,NA,FALSE,12.7,16.36,14.28,22.11,11.32,22.39,25.46,22.59
10000,1000,5,5,5,25,0.25,1,mixed,Model1,NA,NA,FALSE,6.69,6.53,5.83,5.16,3.58,6.46,10.39,7.32
10000,1000,5,5,5,25,0.25,1,mixed,Model6,NA,NA,FALSE,16.45,13.72,20.34,13.43,14.39,13.53,31.02,15.51
10000,1000,5,5,5,25,0.25,1,mixed,Model5,NA,NA,FALSE,14.68,11.88,17.38,11.07,12.06,12.28,27.8,15.21
10000,1000,5,5,5,25,0.25,1,mixed,Model7,NA,NA,FALSE,12.22,13.75,14.74,18.2,8.99,18.68,23.7,22.23
10000,1000,5,5,5,25,0.5,1,mixed,Model7,NA,NA,FALSE,12.88,15.03,15.05,19.65,9.74,20.07,24.68,22.8
10000,1000,5,5,5,25,0.25,1,mixed,Model3,NA,NA,FALSE,23.35,18.49,32.83,21.84,19.6,21.78,42.52,21.24
10000,1000,5,5,5,25,0.75,1,mixed,Model6,NA,NA,FALSE,19.84,16.59,22.72,16.53,19.27,16.3,36.93,16.06
10000,1000,5,5,5,25,0,1,mixed,Model2,NA,NA,FALSE,10.3,9.59,11.46,9.05,6.22,9.45,18.58,12.33
10000,1000,5,5,5,25,0,1,mixed,Model5,NA,NA,FALSE,13.46,10.98,16.61,10.14,10.92,11.04,26,13.97
10000,1000,5,5,5,25,0.75,1,mixed,Model5,NA,NA,FALSE,16.99,14.68,18.43,13.95,15.85,14.22,33.07,15.64
10000,1000,5,5,5,25,0,1,mixed,Model6,NA,NA,FALSE,15.56,12.21,19.41,11.9,12.83,12.72,28.83,14.49
10000,1000,5,5,5,25,0.75,1,mixed,Model3,NA,NA,FALSE,29.59,24.35,37.34,28.7,26.55,30.58,52.67,26.31
10000,1000,5,5,5,25,0.25,1,mixed,Model2,NA,NA,FALSE,10.81,9.91,12.14,9.53,6.82,10.42,19.29,12.8
10000,1000,5,5,5,25,0.5,1,mixed,Model3,NA,NA,FALSE,26.29,20.85,35.11,24.8,22.9,25.26,47.22,23.36
10000,1000,5,5,5,25,0.5,1,mixed,Model5,NA,NA,FALSE,15.77,13,18.09,12.1,13.6,12.9,30.19,15.29
10000,1000,5,5,5,25,0.5,1,mixed,Model1,NA,NA,FALSE,6.59,6.66,5.99,5.75,4.32,6.42,10.99,7.04
10000,1000,5,5,5,25,0.75,1,mixed,Model1,NA,NA,FALSE,6.74,6.45,5.94,5.63,4.82,6.1,12.03,6.39
10000,1000,5,5,5,25,0.25,1,mixed,Model4,NA,NA,FALSE,6.77,6.48,5.84,5.34,3.85,6.43,10.88,7.78
10000,1000,5,5,5,25,0.5,1,mixed,Model6,NA,NA,FALSE,18.08,14.89,21.94,14.63,16.54,14.84,33.93,16.54
10000,1000,5,5,5,25,0.75,1,mixed,Model2,NA,NA,FALSE,12.6,12.16,12.93,12.13,9.65,12.75,23.49,13.92
