nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,6,12,12,25,0.75,1,mixed,Model7,NA,NA,FALSE,14.84,24.57,23.22,67.12,19.77,74.53,41.49,74.28
10000,1000,6,12,12,25,0.75,1,mixed,Model2,NA,NA,FALSE,14.59,15.19,19.41,21.41,15.67,23.78,34.31,24.97
10000,1000,6,12,12,25,0.75,1,lognormal,Model4,NA,NA,FALSE,5.65,5.85,4.91,4.42,3.22,5.79,8.84,7.95
10000,1000,6,12,12,25,0.75,1,normal,Model6,NA,NA,FALSE,37.28,28.99,43.25,31.76,41.1,32.79,57.87,34.18
10000,1000,6,12,12,25,0.5,1,lognormal,Model5,NA,NA,FALSE,47.22,31.97,77.41,44.23,65.19,48.04,90.12,59.45
10000,1000,6,12,12,25,0.75,1,lognormal,Model3,NA,NA,FALSE,90.97,79.53,98.17,92.08,96.98,96.31,99.53,96.53
10000,1000,6,12,12,25,0.75,1,normal,Model2,NA,NA,FALSE,25.52,27.84,26.93,36.15,22.09,41.78,40.09,44.04
10000,1000,6,12,12,25,0.5,1,lognormal,Model3,NA,NA,FALSE,64,51.23,90.84,77.65,86.08,84.39,96.02,85.12
10000,1000,6,12,12,25,0.75,1,lognormal,Model2,NA,NA,FALSE,50.78,41.36,60.58,50.7,51.02,54.94,74.28,64.34
10000,1000,6,12,12,25,0.5,1,normal,Model5,NA,NA,FALSE,18.35,15.3,24.05,17.06,21.69,17.62,35.86,20.39
10000,1000,6,12,12,25,0.5,1,normal,Model1,NA,NA,FALSE,6.46,6.42,5.4,5.07,4.71,5.93,9.48,6.18
10000,1000,6,12,12,25,0.5,1,normal,Model7,NA,NA,FALSE,23.87,50.03,36.18,90.76,31.43,96.46,53.52,97.14
10000,1000,6,12,12,25,0.5,1,normal,Model4,NA,NA,FALSE,6.48,6.36,5.4,5.07,4.7,6,9.61,6.78
10000,1000,6,12,12,25,0.5,1,mixed,Model3,NA,NA,FALSE,34.49,29.4,68.7,60.37,58.98,66.97,82.9,63.41
10000,1000,6,12,12,25,0.5,1,lognormal,Model4,NA,NA,FALSE,5.78,5.9,4.93,4.54,3.36,5.78,8.96,7.76
10000,1000,6,12,12,25,0.5,1,normal,Model6,NA,NA,FALSE,21.9,17.69,30.21,20.53,27.66,21.09,42.91,22.09
10000,1000,6,12,12,25,0.75,1,mixed,Model3,NA,NA,FALSE,39.35,36.61,70.25,69.81,61.6,77.99,87,68.35
