nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,5,25,0,1,lognormal,Model1,normal,0.5,TRUE,6.23,6.08,4.72,4.8,3.26,5.49,8.78,4.46
10000,1000,5,5,5,25,0.75,1,lognormal,Model2,t.distr,0.5,TRUE,22.22,20.76,19.74,18.5,12.29,18.86,29.2,18.17
10000,1000,5,5,5,25,0,1,lognormal,Model7,t.distr,0.5,TRUE,10.06,11.6,9.93,12.79,5.82,12.59,15.88,12.8
10000,1000,5,5,5,25,0.75,1,lognormal,Model7,t.distr,0.5,TRUE,22.72,30.34,20.24,31.82,13.4,34.75,32.31,35.64
10000,1000,5,5,5,25,0.25,1,lognormal,Model7,t.distr,0.5,TRUE,11.13,12.89,10.72,14.29,6.43,14.72,17.54,15.02
10000,1000,5,5,5,25,0,1,lognormal,Model2,t.distr,0.5,TRUE,9.97,9.54,10.18,9.21,5.52,8.81,15.12,8.24
10000,1000,5,5,5,25,0.5,1,lognormal,Model6,t.distr,0.5,TRUE,24.38,19.45,26.86,18.25,16.81,19.63,38.07,18.68
10000,1000,5,5,5,25,0.25,1,lognormal,Model7,normal,0.5,TRUE,9.73,12.32,9.5,13.13,6.35,14.13,17.28,14.26
10000,1000,5,5,5,25,0.5,1,lognormal,Model7,t.distr,0.5,TRUE,13.41,17.32,12.67,18.76,7.95,19.3,20.59,19.75
10000,1000,5,5,5,25,0.75,1,lognormal,Model2,normal,0.5,TRUE,19.95,19.32,17.97,17.18,12.35,18.11,27.46,16.44
10000,1000,5,5,5,25,0.25,1,lognormal,Model3,normal,0.5,TRUE,17.72,16.23,20.7,16.88,14.13,17.46,29.32,13.23
10000,1000,5,5,5,25,0.25,1,lognormal,Model1,normal,0.5,TRUE,6.28,6.41,4.92,5.02,3.16,5.39,8.67,4.47
10000,1000,5,5,5,25,0.5,1,lognormal,Model7,normal,0.5,TRUE,11.79,16.15,11.46,16.62,7.89,18.74,20.51,18.94
10000,1000,5,5,5,25,0.25,1,lognormal,Model2,normal,0.5,TRUE,10.09,10.65,10.09,9.25,6.23,9.81,16.17,8.61
10000,1000,5,5,5,25,0,1,lognormal,Model2,normal,0.5,TRUE,9.08,9.43,9.19,8.1,5.88,8.82,15.1,7.63
10000,1000,5,5,5,25,0,1,lognormal,Model3,normal,0.5,TRUE,14.46,13.76,17.85,14.32,11.96,14.71,25.15,10.98
10000,1000,5,5,5,25,0,1,lognormal,Model7,normal,0.5,TRUE,8.99,10.55,8.68,11.12,6.07,12.48,16.07,12.32
10000,1000,5,5,5,25,0.25,1,lognormal,Model6,t.distr,0.5,TRUE,17.31,15.03,20.5,14.7,12.24,15.3,29.95,14.46
10000,1000,5,5,5,25,0.5,1,lognormal,Model2,normal,0.5,TRUE,12.44,12.25,12.01,11.06,7.63,11.89,18.91,10.61
10000,1000,5,5,5,25,0,1,lognormal,Model6,t.distr,0.5,TRUE,14.29,12.78,17.56,12.61,10.06,13.28,26.17,12.22
10000,1000,5,5,5,25,0.75,1,lognormal,Model7,normal,0.5,TRUE,19.29,26.94,17.37,27.88,13.19,32.67,30.64,32.61
10000,1000,5,5,10,25,0.5,1,lognormal,Model7,normal,0.5,TRUE,11.95,15.02,12.04,18.51,9.04,21.53,20.02,21.17
10000,1000,5,5,10,25,0.5,1,lognormal,Model1,t.distr,0.5,TRUE,6.42,6.52,5.05,4.96,2.85,5.22,7.72,4.29
10000,1000,5,5,10,25,0.5,1,lognormal,Model2,t.distr,0.5,TRUE,13.69,13.49,13.1,13.09,8.3,13.22,19.27,11.99
