nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0.75,1,normal,Model2,normal,0.5,TRUE,12.81,12.68,10.58,11.03,8.73,12.98,16.82,8.73
10000,1000,5,5,10,25,0.5,1,normal,Model3,t.distr,0.5,TRUE,15.68,14.2,17.06,14.57,11.76,16.46,22.85,9.82
10000,1000,5,5,10,25,0.75,1,normal,Model6,t.distr,0.5,TRUE,22.36,17.57,20.36,15.26,17.44,15.62,30.65,12.4
10000,1000,5,5,10,25,0.75,1,normal,Model3,t.distr,0.5,TRUE,27.88,23.14,26.9,23.16,19.92,28.2,35.87,17.69
10000,1000,5,5,10,25,0.25,1,normal,Model1,normal,0.5,TRUE,6.8,6.83,5.35,5.09,4.71,5.85,9.18,3.83
10000,1000,5,5,10,25,0.75,1,normal,Model5,t.distr,0.5,TRUE,18.52,15.22,16.84,12.81,13.89,13.05,26.3,11.65
10000,1000,5,5,10,25,0.25,1,normal,Model2,t.distr,0.5,TRUE,8.61,8.55,8.24,7.61,5.63,7.79,11.97,5.35
10000,1000,5,5,10,25,0.5,1,normal,Model2,t.distr,0.5,TRUE,9.79,9.3,8.99,8.29,6.49,8.88,13.3,6.19
10000,1000,5,5,10,25,0.75,1,normal,Model5,normal,0.5,TRUE,16.87,14.44,15.19,12.51,14.02,13.2,25.23,11.43
10000,1000,5,5,10,25,0.25,1,normal,Model4,t.distr,0.5,TRUE,6.59,6.49,5.32,5.05,3.81,5.13,8.9,4.45
10000,1000,5,5,10,25,0.75,1,normal,Model1,normal,0.5,TRUE,6.86,6.92,5.7,5.14,4.95,5.83,9.31,4.05
10000,1000,5,5,10,25,0,1,normal,Model4,normal,0.5,TRUE,6.71,6.68,5.22,5.21,4.77,5.95,9.67,4.93
10000,1000,5,5,10,25,0.5,1,normal,Model1,t.distr,0.5,TRUE,6.36,6.56,5.22,5.02,4.07,5.23,8.31,3.59
10000,1000,5,5,10,25,0.5,1,normal,Model4,t.distr,0.5,TRUE,6.36,6.54,5.22,5.02,4.01,5.24,8.7,4.36
10000,1000,5,5,10,25,0.25,1,normal,Model1,t.distr,0.5,TRUE,6.62,6.48,5.32,5.05,3.87,5.09,8.44,3.58
10000,1000,5,5,10,25,0,1,normal,Model2,t.distr,0.5,TRUE,8.23,8.03,7.77,7.07,5.28,6.96,11.57,4.84
10000,1000,5,5,10,25,0.25,1,normal,Model7,normal,0.5,TRUE,8.44,8.67,7.81,8.61,6.49,9,13.13,7.12
10000,1000,5,5,10,25,0.5,1,normal,Model1,normal,0.5,TRUE,6.88,6.72,5.32,5.17,4.67,5.8,9.27,4
10000,1000,5,5,10,25,0.5,1,normal,Model5,normal,0.5,TRUE,11.61,10.76,11.5,9.61,10.16,9.88,18.87,8.45
10000,1000,5,5,10,25,0.75,1,normal,Model7,normal,0.5,TRUE,12.11,14.85,10.45,14.6,9.2,16.18,17.66,13.57
10000,1000,5,5,10,25,0.25,1,normal,Model4,normal,0.5,TRUE,6.84,6.86,5.35,5.09,4.69,5.9,9.66,4.91
10000,1000,5,5,10,25,0.25,1,normal,Model3,normal,0.5,TRUE,11.85,11.27,13.22,11.92,9.86,13.58,18.68,7.77
10000,1000,5,5,10,25,0,1,normal,Model7,t.distr,0.5,TRUE,8.08,8.31,7.71,8.68,5.56,8.01,12.16,6.58
10000,1000,5,5,10,25,0.25,1,normal,Model6,t.distr,0.5,TRUE,10.85,9.78,12.12,9.27,9.25,9,18.37,7.04
10000,1000,5,5,10,25,0.75,1,normal,Model7,t.distr,0.5,TRUE,12.43,16,10.7,15.62,8.38,16.45,17.48,13.66
10000,1000,5,5,10,25,0,1,normal,Model5,t.distr,0.5,TRUE,9.34,8.55,10.2,7.85,7.5,7.46,15.59,6.44
10000,1000,5,5,10,25,0.75,1,normal,Model2,t.distr,0.5,TRUE,13.34,12.48,10.83,11.09,7.94,12.74,16.77,8.8
10000,1000,5,5,10,25,0.75,1,normal,Model1,t.distr,0.5,TRUE,6.08,6.33,4.93,4.98,3.91,5.26,8.17,3.54
10000,1000,5,5,10,25,0.75,1,normal,Model4,t.distr,0.5,TRUE,6.08,6.33,4.93,4.98,3.94,5.23,8.74,4.36
10000,1000,5,5,10,25,0.5,1,normal,Model2,normal,0.5,TRUE,9.49,9.19,8.51,8.28,7.17,9.48,13.33,6.28
10000,1000,5,5,10,25,0,1,normal,Model5,normal,0.5,TRUE,9.15,8.95,9.59,7.85,8.26,8.6,16.37,7.03
10000,1000,5,5,10,25,0,1,normal,Model4,t.distr,0.5,TRUE,6.71,6.48,5.37,4.89,3.87,5.02,8.87,4.28
10000,1000,5,5,10,25,0.25,1,normal,Model2,normal,0.5,TRUE,8.71,8.66,7.87,7.4,6.27,8.37,12.38,5.38
10000,1000,5,5,10,25,0.5,1,normal,Model4,normal,0.5,TRUE,6.91,6.77,5.32,5.17,4.71,5.92,9.87,4.98
10000,1000,5,5,10,25,0.25,1,normal,Model3,t.distr,0.5,TRUE,12.48,11.44,14.14,12.36,9.26,13,19.06,7.68
10000,1000,5,5,10,25,0,1,normal,Model6,normal,0.5,TRUE,10.05,9.2,10.38,8.39,8.62,8.45,16.12,6.38
10000,1000,5,5,10,25,0,1,normal,Model3,t.distr,0.5,TRUE,10.68,10.12,12.61,11.43,8.35,11.33,17.4,6.66
10000,1000,5,5,10,25,0.5,1,normal,Model7,t.distr,0.5,TRUE,9.37,10.93,8.75,10.81,6.64,10.76,14,8.95
10000,1000,5,5,10,25,0.25,1,normal,Model7,t.distr,0.5,TRUE,8.63,9.33,8.14,9.09,6.07,9,12.81,7.22
