Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
10000;1000;10;15;15;25;0.5;1;lognormal;Model5;NA;NA;FALSE;86.58;62.29;98.4;84.14;96.65;85.68;99.59;86.81
10000;1000;10;15;15;25;0.75;1;mixed;Model7;NA;NA;FALSE;20.27;65.51;37.88;98.01;34.41;98.04;59.18;97.38
10000;1000;10;15;15;25;0.5;1;mixed;Model5;NA;NA;FALSE;29.07;24.68;49.8;39.27;46.63;38.77;62.64;38.05
10000;1000;10;15;15;25;0.75;1;normal;Model5;NA;NA;FALSE;52.67;46.43;57.36;53.42;55.75;54.45;69.4;51.74
10000;1000;10;15;15;25;0.5;1;mixed;Model6;NA;NA;FALSE;36.95;30.17;61.59;48.47;58.3;47.92;73.65;44.65
10000;1000;10;15;15;25;0.5;1;normal;Model5;NA;NA;FALSE;28.38;23.87;38.58;32.75;37.24;33.91;49.63;31.63
10000;1000;10;15;15;25;0.5;1;lognormal;Model7;NA;NA;FALSE;46.91;66.81;68.41;95.34;58.53;96.13;80.36;96.34
10000;1000;10;15;15;25;0.75;1;lognormal;Model7;NA;NA;FALSE;87.92;96.06;93.62;99.76;89.24;99.78;97.38;99.83
10000;1000;10;15;15;25;0.5;1;mixed;Model7;NA;NA;FALSE;20.77;55.3;41.64;96.9;36.15;97.23;57.15;96.9
10000;1000;10;15;15;25;0.75;1;lognormal;Model1;NA;NA;FALSE;4.98;5.21;4.8;5;3.57;5.09;7.91;5.42
10000;1000;10;15;15;25;0.75;1;lognormal;Model6;NA;NA;FALSE;100;97.42;100;99.61;100;99.66;100;99.61
10000;1000;10;15;15;25;0.5;1;mixed;Model4;NA;NA;FALSE;5.06;4.96;5;5.26;4.31;5.32;9.78;5.16
10000;1000;10;15;15;25;0.5;1;normal;Model2;NA;NA;FALSE;21.44;33.24;27.46;56.24;23.69;58.93;39.56;56.8
10000;1000;10;15;15;25;0.75;1;lognormal;Model4;NA;NA;FALSE;5.15;4.99;4.84;4.9;4.07;5.4;8.26;5.63
10000;1000;10;15;15;25;0.75;1;normal;Model4;NA;NA;FALSE;5.15;5.17;4.58;4.53;4.29;4.92;8.24;4.24
10000;1000;10;15;15;25;0.75;1;normal;Model3;NA;NA;FALSE;96.1;98.25;98.57;99.88;97.65;99.92;99.63;99.81
10000;1000;10;15;15;25;0.75;1;lognormal;Model3;NA;NA;FALSE;99.92;99.69;100;99.98;100;100;100;99.99
10000;1000;10;15;15;25;0.5;1;lognormal;Model3;NA;NA;FALSE;93.65;90.36;99.56;99.58;99.21;99.72;99.87;99.57
10000;1000;10;15;15;25;0.5;1;mixed;Model2;NA;NA;FALSE;17.63;22.93;29.23;41.96;23.71;42.97;42.65;43.15
10000;1000;10;15;15;25;0.75;1;lognormal;Model2;NA;NA;FALSE;83.22;81.36;88.98;91.45;84.58;92.11;93.43;92.93
10000;1000;10;15;15;25;0.5;1;normal;Model1;NA;NA;FALSE;5.18;5.15;4.68;4.67;4.38;5.18;8.07;4.63
10000;1000;10;15;15;25;0.5;1;lognormal;Model4;NA;NA;FALSE;5.07;5.07;4.8;4.85;3.8;5.46;8.09;5.61
10000;1000;10;15;15;25;0.5;1;mixed;Model3;NA;NA;FALSE;64.66;68.1;93.55;97.28;89.85;97.71;97.79;96.63
10000;1000;10;15;15;25;0.75;1;normal;Model7;NA;NA;FALSE;83.84;99.96;90.43;100;88.67;100;96.5;100
10000;1000;10;15;15;25;0.5;1;lognormal;Model6;NA;NA;FALSE;96.12;73.47;99.99;91.98;99.84;93.5;100;93.12
10000;1000;10;15;15;25;0.5;1;normal;Model3;NA;NA;FALSE;66.66;75.43;86.83;97.09;82.75;97.88;93.93;96.43
10000;1000;10;15;15;25;0.5;1;normal;Model4;NA;NA;FALSE;5.19;5.15;4.68;4.67;4.39;5.06;8.1;4.43
10000;1000;10;15;15;25;0.5;1;mixed;Model1;NA;NA;FALSE;5.26;5.22;5.36;5.71;4.45;5.57;10.16;5.33
10000;1000;10;15;15;25;0.75;1;mixed;Model2;NA;NA;FALSE;18.89;31.4;29.7;50.52;25.41;51.69;47.79;48.67
10000;1000;10;15;15;25;0.5;1;lognormal;Model1;NA;NA;FALSE;5.05;5.09;4.87;4.92;3.41;5.19;7.89;5.45
10000;1000;10;15;15;25;0.5;1;lognormal;Model2;NA;NA;FALSE;48.68;47.86;66.18;71.12;59.66;72.11;75.74;74.28
10000;1000;10;15;15;25;0.5;1;normal;Model6;NA;NA;FALSE;34.39;28.83;47.59;40.22;46.32;41.2;58.88;36.49
10000;1000;10;15;15;25;0.75;1;mixed;Model1;NA;NA;FALSE;5.03;5.4;5.33;5.24;4.9;5.11;11.54;4.39
10000;1000;10;15;15;25;0.75;1;normal;Model1;NA;NA;FALSE;5.13;5.17;4.58;4.53;4.21;4.93;8.35;4.27
10000;1000;10;15;15;25;0.75;1;mixed;Model3;NA;NA;FALSE;72;84.1;95.39;99.28;92.23;99.5;99.06;98.44
10000;1000;10;15;15;25;0.75;1;normal;Model2;NA;NA;FALSE;47.39;66.48;48.59;81.52;42.9;83.86;62.68;81.85
10000;1000;10;15;15;25;0.5;1;normal;Model7;NA;NA;FALSE;45.73;96.2;65.49;99.99;61.53;100;80.67;99.98
10000;1000;10;15;15;25;0.75;1;mixed;Model6;NA;NA;FALSE;40.74;38.81;62.81;56.57;60.39;55.84;77.8;49.3
10000;1000;10;15;15;25;0.75;1;mixed;Model4;NA;NA;FALSE;4.9;5.29;5.02;5.06;4.76;4.81;11.06;4.24
10000;1000;10;15;15;25;0.75;1;normal;Model6;NA;NA;FALSE;62.27;53.96;68.46;63.47;67.24;64.4;78.91;59.63
10000;1000;10;15;15;25;0.75;1;mixed;Model5;NA;NA;FALSE;31.22;31.73;50.36;46.37;48.34;45.79;67.16;41.73
10000;1000;10;15;15;25;0.75;1;lognormal;Model5;NA;NA;FALSE;99.85;91.95;100;97.41;99.97;97.88;100;98.08
